denumire,cui,localitate,judet,tip,autorizatie,telefon,sursa,email
CREATIF ING CONSTRUCT SRL Prahova,,,,TRANSPORT PUBLIC DE PASAGERI PE CAI NAVIGABILE INTERIOARE,TPMCN 99 TL,0752167722,anr_autorizatii,
DANUBE DELTA CRUISES SRL MAHMUDIA,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 120 TL,0740578014,anr_autorizatii,
DELTA EXPLORER SRL BUCUREŞTI,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 87 TL,0730017037,anr_autorizatii,
DELTA WAVE BY WAVE SRL Sf Gheorghe,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 122 TL,0744656065,anr_autorizatii,
EUROPOLIS SA TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 105 TL,0240512443,anr_autorizatii,
FRAHER DISTRIBUTION SRL TULCEA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 110 TL,0240537199,anr_autorizatii,
IBIS SRL MALIUC,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 104 TL,0240512787,anr_autorizatii,
KASANDRA IMPEX SRL TULCEA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 117 TL,0745761826,anr_autorizatii,
IVAN PESCAR SRL Tulcea,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 118 TL,0735215444,anr_autorizatii,
SINCRON SRL Tulcea,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 119 TL,0769250000,anr_autorizatii,
LISCOM SRL TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 106 TL,0240536726,anr_autorizatii,
LUNOK SRL GALATI,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 96 TL,0741262694,anr_autorizatii,
MODERN AMBIENT SRL TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI PE CAI NAVIGABILE,TPMCN 111 TL,0744581952,anr_autorizatii,
"MON JARDIN TURISM SRL Mahmudia, jud Tulcea",,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 101 TL,0728020760,anr_autorizatii,
NAVROM DELTA SA TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 103 TL,0240511553,anr_autorizatii,
SAT VACANTA GURA PORTITEI SRL,,,,TRANSPORT PUBLIC DE MARFURI SI PASAGERI PE CAI NAVIGABILE INTERIOARE,TPMCN 102 TL,Jurilovca,anr_autorizatii,
STAR 2000 SA Tulcea,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 116 TL,0744318700,anr_autorizatii,
TRANSPORT PUBLIC SA TULCEA,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 121 TL,0240534278,anr_autorizatii,
URSA MARE SRL NUFĂRU,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 108 TL,0745029856,anr_autorizatii,
VICTORIA OIL SRL Sulina,,,,TRANSPORT PUBLIC DE PASAGERI ȘI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 112 TL,0240543189,anr_autorizatii,
WEBMEDIA SRL Vulturu,,,,TRANSPORT PUBLIC DE MARFURI SI PASAGERI PE CAI NAVIGABILE INTERIOARE,TPMCN 100 TL,0722311003,anr_autorizatii,
A L P A BUCUREȘTI,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 83 GR,0212245860,anr_autorizatii,
AFERA EFN 554 SRL ZIMNICEA,,,,TRANSPORT PUBLIC DE MARFĂ PE CĂI NAVIGABILE INTERIOARE,TPMCN 85 GR,0723669664,anr_autorizatii,
AGRICOS DANUBE CĂLĂRAȘI,,,,TRANSPORT PUBLIC DE MARFĂ PE CĂI NAVIGABILE INTERIOARE,TPMCN 84 GR,0752230111,anr_autorizatii,
AGROZOOTEHNICA PIETROIU BUCUREŞTI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 103 GR,0212219968,anr_autorizatii,
BEOTRADE COM BUCUREȘTI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 91 GR,0214102715,anr_autorizatii,
CABMEDIA SERV SRL BUCUREȘTI,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 101 GR,0722211045,anr_autorizatii,
CEDRU VALEX SRL SAT IEZERU,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 100 GR,0722262635,anr_autorizatii,
COMPLEX HERĂSTRĂU BUCUREȘTI,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 74 GR,0212322128,anr_autorizatii,
DIANA SAILING BUCUREȘTI,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 89 GR,0748627108,anr_autorizatii,
DONAU STAR SHIPPING CĂLĂRAȘI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 71 GR,0722333470,anr_autorizatii,
"DORNA AGRI COMUNA ROSEȚI , JUDEȚUL CĂLĂRAȘI",,,,TRANSPORT PUBLIC DE MĂRFURI ȘI PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 78 GR,0212111415 0753101055,anr_autorizatii,
EUROBAC TURNU MĂGURELE,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 96 GR,0786556655,anr_autorizatii,
GUT CALARAŞI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 88 GR,0242312277,anr_autorizatii,
INTERAGRO TRANSPORTURI ZIMNICEA,,,,TRANSPORT PUBLIC DE MĂRFURI ŞI PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 97 GR,0247367100,anr_autorizatii,
KARPATEN LOGISTICS &TOURS BUCUREȘTI,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 81 GR,0213220435,anr_autorizatii,
LAZY GARDEN SRL CĂLĂRAȘI,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 86 GR,0733966864,anr_autorizatii,
MERIDIAN CĂLĂRAȘI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 95 GR,0726110338,anr_autorizatii,
MULTI ACTIVE SERVICE GIURGIU,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 92 GR,0785238927,anr_autorizatii,
"OSTROVIT, COMUNA OSTROVIT, JUDEȚUL CONSTANȚA",,,,TRANSPORT PUBLIC DE MĂRFURI SI DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 94 GR,0241857546,anr_autorizatii,
POSADA VIDRARU SRL COMUNA AREFU,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 82 GR,0721115611,anr_autorizatii,
R N P ROMSILVA R A DIRECȚIA SILVICĂ CĂLĂRAȘI,,,,TRANSPORT PUBLIC DE MARFĂ PE CĂI NAVIGABILE INTERIOARE,TPMCN 77 GR,0242314344,anr_autorizatii,
R N P ROMSILVA RA DIRECȚIA SILVICĂ GIURGIU,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 79 GR,0246218238,anr_autorizatii,
RAPIDE TRANSPORT & LOGISTICS DT SEVERIN,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 99 GR,0734090581,anr_autorizatii,
RHENUS PARTNERSHIP ROMANIA,,,,TRANSPORT PUBLIC DE MARFĂ PE CĂI NAVIGABILE INTERIOARE,TPMCN 87 GR,0241660832,anr_autorizatii,
ROMPLY MEROPS CĂLĂRAȘI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 72 GR,0745352324,anr_autorizatii,
SEA DANUBE GIURGIU,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 93 GR,0246216458,anr_autorizatii,
"SIMS, COMUNA BORCEA, JUDEȚUL CĂLĂRAȘI",,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 80 GR,0723216234,anr_autorizatii,
UAT ORAȘUL ZIMNICEA,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 75 GR,0247366431,anr_autorizatii,
UNIVERSAL DAN SERVICE GIURGIU,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 76 GR,0724788523,anr_autorizatii,
MOROIANU M. MARIAN P.F.A.,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 102 GR,0729858113,anr_autorizatii,
BUORMO CLUB SRL,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 34 DTS,0727765271,anr_autorizatii,
ADI ”FERIBOT MOLDOVA NOUĂ-SERBIA”,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 43 DTS,0741092001,anr_autorizatii,
CROAZIERE DANUBIUS SRL,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 41 DTS,0765137157,anr_autorizatii,
