name,cnpj,trade_name,country,status,org_type
FUNDO MUNICIPAL DO MEIO AMBIENTE - FMMA,07143323000183,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE,07143366000169,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE DE SERRANA,07144358000137,,BR,,government
CONSORCIO INTERMUNICIPAL DE GESTAO AMPLIADA DA REGIAO CARBONIFERA - CIGA CARBONIFERA,07145704000100,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE,07148412000112,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE,07148819000140,,BR,,government
CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE DE GARCA,07150003000150,,BR,,government
PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE CATANDUVAS,07150817000195,,BR,,government
FORUM DA COMARCA DE CLAUDIA,07151535000102,,BR,,government
DIRETORIA REGIONAL METROPOLITANA IV,07156223000191,,BR,,government
MUNICIPIO DE SANTANA DO PIAUI - CAMARA MUNICIPAL,07168253000118,,BR,,government
CAMARA MUNICIPAL DE SAO MIGUEL DE TAIPU,07156713000198,,BR,,government
FUNDACAO MUNICIPAL DE CULTURA - FUNDAC,07156833000195,,BR,,government
INSTITUTO PREVIDENCIARIO MUNICIPAL DE LASSANCE,07158672000179,,BR,,government
FUNDO MUNICIPAL DE SEGURIDADE SOCIAL DO MUNICIPIO DE ITAITINGA,07158749000100,,BR,,government
FUNDACAO EDUCACIONAL MUNICIPAL,07159202000120,,BR,,government
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,07160934000130,,BR,,government
SECRETARIA DE ESTADO DE EDUCACAO-RJ - COORDENADORIA REGIONAL 09 SERRANA I,07161369000125,,BR,,government
DIRETORIA REGIONAL SERRANA II,07161377000171,,BR,,government
MUNICIPIO DE ITAINOPOLIS - SECRETARIA DE EDUCACAO,07161443000103,,BR,,government
SECRETARIA DE ESTADO DE EDUACACAO-RJ - COORDENADORIA REGIONAL 20 METROPOLITANA VI,07162465000198,,BR,,government
SECRETARIA DE ESTADO DE EDUCACAO RJ - DIRETORIA REGIONAL METROPOLITANA V,07162794000139,,BR,,government
COORDENADORIA REGIONAL 03 REGIAO NOROESTE FLUMINENSE III,07162883000185,,BR,,government
