category,company,project_title,budget,county
echipamente,premii acordate copiilor in vederea participarii la diverse competitii,"Anunturi [proceduri de achizitie, beneficiari privati]: Jucarii si articole sportive (premii acordate copiilor in vederea participarii la diverse competitii)  105515",22083.34,Bucuresti
echipamente,Procedura competitiva Pachete imbracaminte si incaltaminte presc,"Anunturi [proceduri de achizitie, beneficiari privati]: Procedura competitiva Pachete imbracaminte si incaltaminte prescolari si elevi",309497.88,Bucuresti
echipamente,Echipamente de teledetectie si echipamente de detectie a specii,"Anunturi [proceduri de achizitie, beneficiari privati]: Echipamente de teledetectie si echipamente de detectie a speciilor de lilieci cu ajutorul ultrasunetelor/ Telemetry equipment and ultrasound bat detection equipment",528.48,Bucuresti
echipamente,Servicii de organizare seminarii tematice in urmatoarelor arii,"Anunturi [proceduri de achizitie, beneficiari privati]: Servicii de organizare seminarii tematice in urmatoarelor arii: Etica in Afaceri, Dezvoltarea Durabila, Inovarea Sociala, Egalitatea de sanse si Nediscriminarea in urmatoarele judete: Olt, Dolj, Mehedinti, Valcea si Gorj (4 seminarii/judet = 20 de evenimente), CPV 799510005 - Servicii de organizare seminarii in cadrul proiectului Antreprenori, la START!, ID contract: POCU/82/3/7/105412",42016.81,Bucuresti
echipamente,FINANCIAL SERVICES GROUP BROKER DE ASIGURARE-REASIGURARE SRL,-,352200.0,Bacau
echipamente,Achizitia unui echipament performant la SC COME & CLEAN SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitia unui echipament performant la SC COME & CLEAN SRL",979728.0,Bacau
echipamente,consumabile si alte produse similare necesare desfasurarii,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de substante, materiale, plante, animale de laborator, consumabile si alte produse similare necesare desfasurarii activitatilor de cercetare fundamentala/ industriala/ dezvoltare experimentala (multiple loturi) - materiale consumabile si plachete",2362.6,Bucuresti
echipamente,FURNIZARE ACTIVE CORPORALE- Cabina de vopsire si usc,"Anunturi [proceduri de achizitie, beneficiari privati]: FURNIZARE ACTIVE CORPORALE- Cabina de vopsire si uscare presurizata",605357.6,Bucuresti
echipamente,TPS ACME-ANTREPRIZA CONSTRUCTII-MONTAJ ENERGETIC SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie echipamente tehnologice",302330.0,Buzau
echipamente,ACHIZITIE CONSTRUCTII PLUTITOARE -ADAPOST PESCARESC,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE CONSTRUCTII PLUTITOARE -ADAPOST PESCARESC",4636240.0,Tulcea
echipamente,CENTRU DE DIAGNOSTIC SI TRATAMENT SEBES-ALBA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Documentatie de atribuire pentru achizitia echipamentelor electrocardiograf si sistem de testare la efort",34396.0,Alba
echipamente,CENTRU DE DIAGNOSTIC SI TRATAMENT SEBES-ALBA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Documentatie de atribuire pentru achizitia echipamentului concentrator oxigen",2490.0,Alba
echipamente,CENTRU DE DIAGNOSTIC SI TRATAMENT SEBES-ALBA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Documentatia de atribuire pentru achizitia de echipamente medicale",52928.67,Alba
echipamente,CENTRU DE DIAGNOSTIC SI TRATAMENT SEBES-ALBA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Documentatie de atribuire pentru achizitia de microscop operator oftalmologie",321571.69,Alba
echipamente,CENTRU DE DIAGNOSTIC SI TRATAMENT SEBES-ALBA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Documentatie de atribuire pentru achizitia echipamentului: ecograf pt medicina interna",80272.4,Alba
echipamente,CENTRU DE DIAGNOSTIC SI TRATAMENT SEBES-ALBA S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Documentatia de atribuire pentru achizitia de echipamente oftalmologice",415800.0,Alba
echipamente,DUALCONSULT INDUSTRIESERVICE INCINERATION S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE ECHIPAMENTE TEHNOLOGICE",186128.0,Dolj
echipamente,Echipamente specifice lucrarilor de constructii,"Anunturi [proceduri de achizitie, beneficiari privati]: Echipamente specifice lucrarilor de constructii: buldoexcavator si miniincarcator-relansata",924491.6,Tulcea
echipamente,Echipamente specifice lucrarilor de constructii,"Anunturi [proceduri de achizitie, beneficiari privati]: Echipamente specifice lucrarilor de constructii: buldoexcavator si miniincarcator",776883.7,Tulcea
echipamente,GRUPUL DE CONSULTANTA PENTRU DEZVOLTARE DCG SRL,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIONAREA UNOR SERVICII PRIVIND DEZVOLTAREA, TESTAREA SI ANTRENAREA UNEI SOLUTII DE INTELIGENTA ARTIFICIALA IN VEDEREA ADAPTARII PLATFORMEI FONDURI-STRUCTURALE.RO IN CADRUL PROIECTULUI FONDURI-STRUCTURALE.RO",476700.0,Ilfov
echipamente,Achiziie echipamente tehnologice - constructii,"Anunturi [proceduri de achizitie, beneficiari privati]: Achiziie echipamente tehnologice - constructii de drumuri",2617900.0,Tulcea
