CUI,DENUMIRE,CAEN,JUDET,TELEFON,STARE
34147236,LICO SOLUTION S.R.L.,4661,"JUD. IALOMIŢA, SAT PĂLTINIŞU COM. PERIEŢI, STR. CALEA BUCUREŞTI, NR.26",,INREGISTRAT din data 24.02.2015
42011935,LIDER AGROTECH S.R.L.,4661,"JUD. BRAŞOV, MUN. BRAŞOV, STR. NICOLAE LABIŞ, NR.1, BL.3, SC.B, AP.90",0751200511,SUSPENDARE ACTIVITATE din data 01.01.2026
43139950,LINDNER TRACTOR S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 3, STR. CÂMPIA LIBERTĂŢII, NR.4, PARTER, BL.PM51, SC.3, AP.88",,TRANSFER(SOSIRE) din data 05.10.2023
25083915,LM MASCHINEN & GARTEN TECHNIK SRL,4661,"JUD. ARAD, MUN. ARAD, STR. ADY ENDRE, NR.95, AP.CAM.1",,TRANSFER(SOSIRE) din data 17.12.2012
24504463,LOKVE AGRI PROD S.R.L.,4661,"JUD. PRAHOVA, MUN. PLOIEŞTI, ALEEA STREJNIC, NR.1, BL.A14, SC.A, ET.3, AP.13",0728037440,INREGISTRAT din data 23.09.2008
49225537,LORACSA S.R.L.,4661,"JUD. BRAŞOV, MUN. SĂCELE, STR. OGRĂZII, NR.16, CAMERA 1",0741536723,INREGISTRAT din data 05.12.2023
38630593,LORENA AGRO PARTENER S.R.L.,4661,"JUD. ARGEŞ, ORŞ. TOPOLOVENI, STR. ÎNVĂŢĂTOR BIOLARU, NR.5, CAMERA 1, BL.P39, SC.B, AP.1",,INREGISTRAT din data 21.12.2017
13220822,LORGER SRL,4661,"JUD. BIHOR, MUN. MARGHITA, ALEEA ÎNFRĂŢIRII, NR.3, SC.A, AP.2",,INREGISTRAT din data 24.07.2000
5934847,LOWER DESIGN IMPORT EXPORT SRL,4661,"JUD. MUREŞ, COM. CHEŢANI,  , NR.435",484040,INREGISTRAT din data 19.07.1994
23689606,LUMIRI SRL,4661,"JUD. NEAMŢ, MUN. PIATRA NEAMŢ, STR. SIRET, NR.18, BL.18, ET.1, AP.11",0740618011,INREGISTRAT din data 09.04.2008
31398179,LUSO GROUP MACHINERY SRL,4661,"JUD. CONSTANŢA, LOC. MAMAIA MUN. CONSTANŢA, MAMAIA, BL.BUFET SIRET, AP.BIROUL 3",,INREGISTRAT din data 21.03.2013
17244131,M.P. IMPLEMENT S.R.L.,4661,"JUD. DOLJ, MUN. CRAIOVA, STR. NICOLAE BĂLCESCU, NR.3, BL.23D, SC.1, AP.8",0351809775,INREGISTRAT din data 16.02.2005
43968303,MAC AGRO TEAM S.R.L.,4661,"JUD. CLUJ, SAT TURENI COM. TURENI, TURENI, NR.331",,INREGISTRAT din data 23.03.2021
40728179,MACATECH-RO S.R.L.,4661,"JUD. TIMIŞ, MUN. TIMIŞOARA, ALEEA MARTIR ISTVAN ANDREI, NR.16-24, BL.65, SC.C, ET.2, AP.6",0784221246,INREGISTRAT din data 04.03.2019
25633180,MACOS REPARAŢII SRL,4661,"JUD. TIMIŞ, SAT BAZOSU NOU COM. BUCOVĂŢ, NR.10",0722277302,INREGISTRAT din data 03.06.2009
16248836,MACROWEST TRADING COMPANY S.R.L.,4661,"JUD. BIHOR, MUN. ORADEA, SPL. CRIŞANEI, NR.7, BL.B3, SC.B, AP.31",,SUSPENDARE ACTIVITATE din data 25.04.2009
48715077,MADARA AGRO RO S.R.L.,4661,"JUD. CĂLĂRAŞI, MUN. CĂLĂRAŞI, STR. SFÂNTUL NICOLAE, NR.75",0730025010,INREGISTRAT din data 31.08.2023
18245500,MADIS ADYRAL SRL,4661,"JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. BREAZA, NR.33, AP.2",0741777962,TRANSFER(SOSIRE) din data 06.10.2016
1764642,MAGIC AGROJET S.A.,2830,"JUD. ALBA, MUN. AIUD, STR. TRIBUN TUDORAN, NR.7",058861803,INREGISTRAT din data 30.11.1992
36884749,MAGRO RUSMAN SRL,4661,"JUD. GORJ, SAT ARCANI COM. ARCANI,  , NR.24",0766208449,INREGISTRAT din data 03.01.2017
18891527,MAGY ENGINEERING S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 3, B-DUL OCTAVIAN GOGA, NR.4, BL.M26, SC.B, ET.1, AP.26",3212922,INREGISTRAT din data 28.07.2006
445866,MAGY PRODIMPEX S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 3, B-DUL OCTAVIAN GOGA, NR.4, BL.M26, SC.B, ET.1, AP.26",3212922,INREGISTRAT din data 11.02.1992
47837890,MAHLI AGRICOLA S.R.L.,4661,"JUD. CONSTANŢA, MUN. CONSTANŢA, INCINTA PORT CONSTANTA, MOL 4, DEPOZIT 1, BIROU 6",0721686444,INREGISTRAT din data 17.03.2023
33337399,MAIAR BUSINESS SRL,4661,"JUD. CONSTANŢA, MUN. CONSTANŢA, STR. ION LAHOVARI, NR.34",,INREGISTRAT din data 01.07.2014
34542480,MAIER S MIRCEA ÎNTREPRINDERE INDIVIDUALĂ,4661,"JUD. MUREŞ, MUN. SIGHIŞOARA, STR. MIRCEA VODĂ, NR.42",,INREGISTRAT din data 21.05.2015
33012532,MAIK ARENA CENTER SRL,4661,"JUD. DOLJ, MUN. CRAIOVA, STR. NANTERRE, NR.53, BL.D10, SC.2, AP.19",0768511111,RELUARE ACTIVITATE din data 01.01.2018
