DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

162. MECANICA PROFI STYLE S.R.L. | BIHOR | CAEN:4661 | 0746070705
163. ATC INTERNATIONAL SRL | BIHOR | CAEN:4661 | 0723140032
164. NOVI ANGRO SRL | BIHOR | CAEN:4661 | 0770372124
165. AGROLINE UTILAJ S.R.L. | BIHOR | CAEN:4661 | 0746070705
166. UTOSPOP COMERŢ S.R.L. | BIHOR | CAEN:4661 | 0359302212
167. ZAZA WEST SRL | BIHOR | CAEN:4661 | 0722629496
168. IONUŢ ANTONIO SRL | BIHOR | CAEN:4661 | 0755147770
169. AGROSTEEL IMPEX SRL | BIHOR | CAEN:4661 | 0036309467994
170. SILTOR SRL | BIHOR | CAEN:4661 | 0744296180
171. AGRO SALSO SRL | BIHOR | CAEN:4661 | 0751467373
172. SMART AGRO MACHINES SRL | BIHOR | CAEN:4661 | 0723255644
173. TECNAGRONIC SRL | BIHOR | CAEN:4661 | 0359236002
174. ROMERCATOR SRL | BIHOR | CAEN:4661 | 0743555450
175. AGRITEC FM SRL | BIHOR | CAEN:4661 | 0747972814
176. ACTIV AGRI TRADE SRL | BIHOR | CAEN:4661 | 0748130216
177. DMG IMPORT EXPORT SRL | BIHOR | CAEN:4661 | 0753709237
178. AMR TRAC SRL | BIHOR | CAEN:4661 | 0726386666
179. LUCIAN SPED S.R.L. | BIHOR | CAEN:4661 | 0762638134
180. UTILAJE CNL SRL | BIHOR | CAEN:4661 | 
181. ACF SPEDITION SRL | BIHOR | CAEN:4661 | 0757472602
182. TIA&DODO S.R.L. | BIHOR | CAEN:4661 | 0436764003364
183. AGRO INTEGRARE SRL | BIHOR | CAEN:4661 | 
184. NIBO AGRO UTILAJE SRL | BIHOR | CAEN:4661 | 0758458266
185. PIESE AGRO CABA SRL | BIHOR | CAEN:4661 | 0259424144
186. AGRO KUBALAK SRL | BIHOR | CAEN:4661 | 0730247164
187. KULCSAR AGRO SRL | BIHOR | CAEN:4661 | 0741464533
188. MILAGRO CONCEPT S.R.L. | BIHOR | CAEN:4661 | 0771466232
189. ISAF B PREST SRL | BIHOR | CAEN:4661 | 0752750867
190. BACIU NORBERT PERSOANĂ FIZICĂ AUTORIZATĂ | BIHOR | CAEN:4661 | 0741464533
191. ROPRESTEM FARM SRL | BIHOR | CAEN:4661 | 0751235058
192. METOP SRL | BIHOR | CAEN:4661 | 0742091890
193. AGRO VESELKA S.R.L. | BIHOR | CAEN:4661 | 0754286102
