judet,localitate,total_active,asociatii_active,fundatii_active,federatii_active,uniuni_active,persoane_juridice_straine_active
MARAMURES,"CÃTÃLINA, COMUNA COLTÃU , STR. LUNCII, NR.6",1,1,0,0,0,0
MARAMURES,DELAU-MARE,1,1,0,0,0,0
MARAMURES,"DESESTI, ZONA TURISTICÃ IZVOARE, NR. 10A",1,1,0,0,0,0
MARAMURES,DRAGOMIRESTI NR. 203,1,1,0,0,0,0
MARAMURES,DRAGOMIREªTI,1,1,0,0,0,0
MARAMURES,DROBETA TURN SEVERIN,1,1,0,0,0,0
MARAMURES,DTAGOMIRESTI NR. 929,1,1,0,0,0,0
MARAMURES,"DUMBRAVA, NR. 39",1,1,0,0,0,0
MARAMURES,"DUMBRAVITA, LOC. RUS",1,1,0,0,0,0
MARAMURES,"DUMBRAVITA, STR. PRINCIPALA, NR. 225",1,1,0,0,0,0
MARAMURES,"DUMBRÃVIÞA,STR. PRINCIPALÃ, NR.2A,",1,1,0,0,0,0
MARAMURES,FANATE,1,1,0,0,0,0
MARAMURES,FARCASA NR. 116,1,0,1,0,0,0
MARAMURES,FARCASA NR. 226,1,0,1,0,0,0
MARAMURES,FARCASA NR. 69,1,0,1,0,0,0
MARAMURES,FARCASA SAT SARBI,1,1,0,0,0,0
MARAMURES,"FARCASA,",1,1,0,0,0,0
MARAMURES,"FARCASA, SAT TAMAIA",1,1,0,0,0,0
MARAMURES,FERESTI NR. 13/A,1,1,0,0,0,0
MARAMURES,"FERNEZIU, STR. CARIEREI, NR.7",1,1,0,0,0,0
MARAMURES,FERSIG,1,1,0,0,0,0
MARAMURES,"FERSIG, NR. 136",1,1,0,0,0,0
MARAMURES,"FINTEUSU MARE,",1,0,1,0,0,0
MARAMURES,"FINTEUSU MARE, NR.52, COMUNA SOMCUTA MARE",1,1,0,0,0,0
MARAMURES,FINTEUSU MIC,1,0,1,0,0,0
MARAMURES,"FINTEUºU MARE, NR. 59 E",1,1,0,0,0,0
MARAMURES,"FRÎNCENII BOIULUI NR. 12, COM. BOIU MARE",1,1,0,0,0,0
MARAMURES,"FÃRCAºA, STR. EUROPA, NR.21",1,1,0,0,0,0
MARAMURES,"FÃRCAºA, STR. INDEPENDENÞEI, NR.61",1,1,0,0,0,0
MARAMURES,"FÃRCAºA, STR. INDEPENDENÞEI, NR.89",1,1,0,0,0,0
MARAMURES,GIULESTI,1,0,0,0,1,0
MARAMURES,"GIULESTI, SAT BERBESTI, NR. 234G",1,1,0,0,0,0
MARAMURES,GIURGIU,1,0,1,0,0,0
MARAMURES,"GROSI, NR. 187",1,1,0,0,0,0
MARAMURES,GROSII TIBELESULUI,1,1,0,0,0,0
MARAMURES,"GROSII TIBLESULUI,",1,1,0,0,0,0
MARAMURES,"GROºI, NR.430",1,1,0,0,0,0
MARAMURES,"GROºI, NR.90",1,1,0,0,0,0
MARAMURES,"GÂRDANI, NR. 373",1,1,0,0,0,0
MARAMURES,HANDALUL ILBEI,1,1,0,0,0,0
MARAMURES,HERJA,1,1,0,0,0,0
MARAMURES,"HOTENI,NR.55",1,1,0,0,0,0
MARAMURES,Hideaga,1,1,0,0,0,0
MARAMURES,"IADARA, COMUNA MIRESU MARE, NR.182",1,1,0,0,0,0
MARAMURES,IEUD NR. 132,1,1,0,0,0,0
MARAMURES,IEUD NR. 156,1,1,0,0,0,0
MARAMURES,ILBA NR. 98,1,0,1,0,0,0
MARAMURES,"ILBA, COM. CICARLCAU",1,1,0,0,0,0
MARAMURES,INAU,1,1,0,0,0,0
MARAMURES,Izvoarele,1,1,0,0,0,0
MARAMURES,JUGASTRENI,1,1,0,0,0,0
MARAMURES,LAPUSEL,1,1,0,0,0,0
MARAMURES,LAPUSUL ROMANESC NR. 2000,1,1,0,0,0,0
MARAMURES,LEORDINA NR. 506,1,0,1,0,0,0
MARAMURES,LEORDINA NR. 712,1,0,1,0,0,0
MARAMURES,"LIBOTIN, NR. 107, JUD. MARAMURES",1,1,0,0,0,0
MARAMURES,LOC. BUZESTI (COMUNA FARCASA),1,1,0,0,0,0
MARAMURES,"LOC. BUZEºTI, COMUNA FÃRCAºA, NR. 21",1,1,0,0,0,0
MARAMURES,"LOC. CHIUZBAIA, (ORS. BAIA SPRIE)",1,1,0,0,0,0
MARAMURES,"LOC. CORUIA, COM. SACALASENI",1,1,0,0,0,0
MARAMURES,"LOC. TÃMAIA, STR. CULTURII, NR.64, COMUNA FÃRCAºA",1,1,0,0,0,0
MARAMURES,"LOC.BAITA (ORS.TAUTII-MAGHERAUS), STR.73, NR.41",1,1,0,0,0,0
MARAMURES,"LOCALITATEA CETÃÞELE, COMUNA ªIºEºTI, NR. 17",1,1,0,0,0,0
MARAMURES,LOCALITATEA LEORDINA,1,1,0,0,0,0
MARAMURES,"LOCALITATEA LÃPUSEL, COMUNA RECEA, STR. NUCULUI, NR.1",1,1,0,0,0,0
MARAMURES,"LOCALITATEA MOCIRA, COMUNA RECEA,",1,1,0,0,0,0
MARAMURES,"LOCALITATEA POSTA, COMUNA REMETEA CHIOARULUI NR. 136",1,1,0,0,0,0
MARAMURES,MANAU,1,1,0,0,0,0
MARAMURES,MANAU NR. 346,1,0,1,0,0,0
MARAMURES,MARAMURES,1,1,0,0,0,0
MARAMURES,"MARAMURESULUI, NR. 27",1,1,0,0,0,0
MARAMURES,MERISOR,1,1,0,0,0,0
MARAMURES,"MERIºOR, ORAº TÃUÞII-MÃGHERÃUª, STR.133, NR.69, JUD. MARAMUREº",1,1,0,0,0,0
MARAMURES,"MESTEACAN, COMUNA VALEA CHIOARULUI, NR.79",1,1,0,0,0,0
MARAMURES,MIRESU AMRE,1,1,0,0,0,0
MARAMURES,"MIRESU MARE,",1,1,0,0,0,0
MARAMURES,"MOCIRA, str. Crinilor, nr. 8A",1,1,0,0,0,0
MARAMURES,MOISEI NR. 1527,1,0,1,0,0,0
MARAMURES,MOISEI NR. 16/A,1,0,1,0,0,0
MARAMURES,MOISEI NR. 1609/A,1,0,1,0,0,0
MARAMURES,MOISEI NR. 3,1,0,1,0,0,0
MARAMURES,MOISEI NR. 543/C,1,0,1,0,0,0
MARAMURES,MOISEI NR. 598/A,1,0,1,0,0,0
MARAMURES,MOISEI NR. 740,1,0,1,0,0,0
MARAMURES,MOISEI NR. 925/A,1,0,1,0,0,0
MARAMURES,MOISEI NR. 980 B,1,0,1,0,0,0
MARAMURES,"MOISEI, NR. 1436/A",1,1,0,0,0,0
MARAMURES,"MOISEI, SEDIUL SECUNDAR STRAMTURA",1,1,0,0,0,0
MARAMURES,"MUNICIPIUL SIGHETU MARMATIEI, STRADA LAZU BACIULUI NR.197C",1,1,0,0,0,0
MARAMURES,MUNICIPIUL SIGHETU MARMAÞIEI,1,1,0,0,0,0
MARAMURES,"MUNICIPIUL SIGHETU MARMAÞIEI , STR. IAPA,NR.98",1,1,0,0,0,0
MARAMURES,"MUNICIPIUL SIGHETU MARMAÞIEI, STRADA BOGDA VODÃ, NR. 13A, APARTAMENT NR. 51, ETAJ 2, JUDEÞUL MARAMUREº",1,1,0,0,0,0
MARAMURES,"Municipiul Oradea, str. General H. M. Berthelot, nr. 5, judeþul Bihor",1,0,1,0,0,0
MARAMURES,"NEGREIA, STR. PRINCIPALA, NR. 91",1,1,0,0,0,0
MARAMURES,NEGRESTI OAS judetul SATU MARE,1,0,1,0,0,0
MARAMURES,OARTA DE JOS NR. 156,1,1,0,0,0,0
MARAMURES,OARTA DE SUS NR. 265,1,0,1,0,0,0
MARAMURES,"OCNA SUGATAG, SAT SUGATAG, NR.155",1,1,0,0,0,0
MARAMURES,OCNA ªUGATAG,1,1,0,0,0,0
MARAMURES,OCNA-SUGATAG,1,1,0,0,0,0
MARAMURES,ONCESTI NR. 253/A,1,0,1,0,0,0
MARAMURES,ONCESTI NR.477,1,1,0,0,0,0
MARAMURES,"ORAS TAUTII MAGHERAUS, SAT NISTRU,",1,1,0,0,0,0
MARAMURES,"ORAS TÃUTII-MÃGHERÃUS, STR. 1, NR. 14L",1,1,0,0,0,0
MARAMURES,ORAS TÃUÞII-MÃGHERÃUS,1,1,0,0,0,0
MARAMURES,"ORASUL BAIA SPRIE, LOCALITATEA TAUTII DE SUS",1,1,0,0,0,0
MARAMURES,"ORASUL TAUTII MAGHERAUS,",1,1,0,0,0,0
MARAMURES,"ORAº SEINI, STR. BÃII, NR.20",1,1,0,0,0,0
MARAMURES,"ORAº SEINI, STR. BÃII, NR.8",1,1,0,0,0,0
MARAMURES,"ORAº TÃUÞII-MÃGHERÃUº, STR. 1, NR.194",1,1,0,0,0,0
MARAMURES,"ORS. SOMCUTA MARE, STR. MORII, NR. 15, JUD. MARAMURES?",1,1,0,0,0,0
MARAMURES,ORS. TAUTII MAGHERAUS,1,1,0,0,0,0
MARAMURES,Ocna Sugatag,1,1,0,0,0,0
MARAMURES,"Ocna Sugatag,str. Unirii,nr.1/D",1,1,0,0,0,0
MARAMURES,"Oras Tautii Magheraus, strada 3, nr. 99, jud. Maramures",1,1,0,0,0,0
MARAMURES,"Oras Tãuþii Mãgherãuº, str. 66, nr. 22",1,1,0,0,0,0
MARAMURES,Orasul Borsa,1,1,0,0,0,0
MARAMURES,"Oraº Tãutii Mãgherãus, str.23 nr.35",1,1,0,0,0,0
MARAMURES,"Ors. Tautii Magheraus , str. 1 nr. 235",1,0,1,0,0,0
MARAMURES,"Ors. Tautii Magheraus , str. 2, nr. 5, jud. Maramures.",1,1,0,0,0,0
MARAMURES,"P-TA LIBERTATII,NR.25",1,1,0,0,0,0
MARAMURES,PETROVA NR. 239,1,0,1,0,0,0
MARAMURES,"PETROVA, NR. 569",1,1,0,0,0,0
MARAMURES,"PIATA LIBERTATII,NR.25",1,1,0,0,0,0
MARAMURES,PIENILE DE SUB MUNTE NR. 550/A,1,1,0,0,0,0
MARAMURES,"PLOPIS, STR. PRINCIPALA, NR.120",1,1,0,0,0,0
MARAMURES,POIANA BOTIZII,1,1,0,0,0,0
MARAMURES,POIENILE DE SUB MUNTE NR. 382,1,1,0,0,0,0
MARAMURES,POIENILE DE SUB MUNTE NR. 97,1,0,1,0,0,0
MARAMURES,POSTA,1,1,0,0,0,0
MARAMURES,"POSTA, COMUNA REMETEA CHIOARULUI, NR.83",1,1,0,0,0,0
MARAMURES,PRELUCA VECHE,1,1,0,0,0,0
MARAMURES,PRIMARIA COMUNEI CERNESTI,1,1,0,0,0,0
MARAMURES,PRISLOP,1,1,0,0,0,0
MARAMURES,Peteritea,1,1,0,0,0,0
MARAMURES,RAZOARE,1,1,0,0,0,0
MARAMURES,RECEA NR. 45,1,1,0,0,0,0
MARAMURES,"RECEA, COMUNA RECEA, STR. ULIÞA MARE, NR.93",1,1,0,0,0,0
MARAMURES,"RECEA, NR.95",1,1,0,0,0,0
MARAMURES,REMETEA CHIOARULUI NR. 140,1,0,1,0,0,0
MARAMURES,"REMETEA CHIOARULUI,",1,1,0,0,0,0
MARAMURES,"REMETEA CHIOARULUI, NR. 120",1,1,0,0,0,0
MARAMURES,"REMETEA CHIOARULUI, NR.155 B",1,1,0,0,0,0
MARAMURES,"REMETI, NR.517",1,1,0,0,0,0
MARAMURES,REPEDEA NR. 352,1,0,1,0,0,0
MARAMURES,"RM. VILCEA,JUD VILCEA",1,1,0,0,0,0
MARAMURES,ROGOZ,1,1,0,0,0,0
MARAMURES,"ROGOZ (ORAS TG. LAPUS), NR. 1",1,1,0,0,0,0
MARAMURES,ROHIA,1,0,1,0,0,0
MARAMURES,"RONA DE JOS, NR.217",1,1,0,0,0,0
MARAMURES,RONA DE SUS NR. 1240B,1,1,0,0,0,0
MARAMURES,RONA DE SUS NR. 918,1,1,0,0,0,0
MARAMURES,"RONA DE SUS, NR.1278",1,1,0,0,0,0
MARAMURES,"RONA DE SUS, NR.418",1,1,0,0,0,0
MARAMURES,"RONA DE SUS, SAT COSTIUI, NR.104",1,1,0,0,0,0
MARAMURES,RUD COMUNA DUMBRAVITA,1,1,0,0,0,0
MARAMURES,RUS,1,1,0,0,0,0
MARAMURES,RUSCOVA NR. 1248,1,0,1,0,0,0
MARAMURES,RUSCOVA NR. 930,1,0,1,0,0,0
MARAMURES,"Rus, Com. Dumbrãvita, nr. 59/A,",1,1,0,0,0,0
MARAMURES,SABISA,1,0,1,0,0,0
MARAMURES,SACALASENI NR. 67,1,1,0,0,0,0
MARAMURES,SACEL,1,1,0,0,0,0
MARAMURES,"SALARD, nr.156, jud. Bihor",1,1,0,0,0,0
MARAMURES,SALASIG,1,1,0,0,0,0
MARAMURES,SALULUNG,1,1,0,0,0,0
MARAMURES,"SAPANTA, NR.522",1,1,0,0,0,0
MARAMURES,SAPÂNTA,1,1,0,0,0,0
MARAMURES,SARAR,1,1,0,0,0,0
MARAMURES,SARASAU NR. 6000,1,1,0,0,0,0
MARAMURES,"SARASAU,NR.110",1,1,0,0,0,0
MARAMURES,"SARASÃU, NR.249",1,1,0,0,0,0
MARAMURES,SASAR,1,1,0,0,0,0
MARAMURES,SASAR NR. 271,1,1,0,0,0,0
MARAMURES,"SAT ASUAJU DE JOS, NR. 39",1,1,0,0,0,0
MARAMURES,"SAT ASUAJU DE SUS, COMUNA ASUAJU DE SUS, NR. 432",1,1,0,0,0,0
MARAMURES,"SAT BAITA, ORAS TAUTII MAGHERAUS, STR. 73, NR. 313",1,1,0,0,0,0
MARAMURES,"SAT BAITA, ORS. TAUTII MAGHERAUS,",1,1,0,0,0,0
MARAMURES,"SAT BUCIUMI, ORAS SOMCUTA MARE",1,1,0,0,0,0
MARAMURES,"SAT BÃITA, ORAS TÃUTII MÃGHERÃUº, STR. 73, NR. 257",1,1,0,0,0,0
MARAMURES,"SAT CATALINA, COMUNA COLTAU, NR. 23,",1,1,0,0,0,0
MARAMURES,"SAT CHECHIS, COMUNA DUMBRAVITA,",1,1,0,0,0,0
MARAMURES,"SAT CIOLT, ORAº ªOMCUTA MARE, NR.98A",1,1,0,0,0,0
MARAMURES,"SAT COAS, COMUNA COAS, NR. 379",1,1,0,0,0,0
MARAMURES,SAT CODRU BUTESII (ORS. SOMCUTA MARE),1,1,0,0,0,0
MARAMURES,"SAT COLTAU, COMUNA COLTAU",1,1,0,0,0,0
MARAMURES,"SAT COLTAU, COMUNA COLTAU, NR. 177",1,1,0,0,0,0
MARAMURES,"SAT COLTÃU, COM, COLTÃU, STR. TELEKI SÁNDOR, NR. 109",1,1,0,0,0,0
MARAMURES,"SAT COLTÃU, COMUNA COLTÃU, NR.10",1,1,0,0,0,0
MARAMURES,"SAT COLTÃU, COMUNA COLTÃU, NR.250",1,1,0,0,0,0
MARAMURES,"SAT COLTÃU, COMUNA COLTÃU, STR. PETOFI ªANDOR, NR.48",1,1,0,0,0,0
MARAMURES,"SAT CORUIA, NR. 36, COMUNA SÃCÃLÃºENI",1,1,0,0,0,0
MARAMURES,"SAT COºTIUI, COM. RONA DE SUS",1,1,0,0,0,0
MARAMURES,"SAT CRÃCIUNEºTI , NR. 293, COM. BOCICOIU MARE,",1,1,0,0,0,0
MARAMURES,"SAT CURTUIUSU MARE, COM. VALEA CHIOARULUI",1,1,0,0,0,0
MARAMURES,"SAT CURTUIUºU MARE, NR.36, COMUNA VALEA CHIOARULUI",1,1,0,0,0,0
MARAMURES,"SAT CÃTÃLINA, COMUNA COLTÃU, NR.33,",1,1,0,0,0,0
MARAMURES,"SAT DUMBRAVITA, COMUNA DUMBRAVITA",1,1,0,0,0,0
MARAMURES,"SAT DUMBRÃVIÞA, COMUNA DUMBRÃVIÞA, NR.225",1,1,0,0,0,0
MARAMURES,"SAT DUMBRÃVIÞA, NR. 4",1,1,0,0,0,0
MARAMURES,"SAT FARCASA, COMUNA FARCASA",1,1,0,0,0,0
MARAMURES,"SAT FERSIG, COMUNA SATULUNG",1,1,0,0,0,0
MARAMURES,"SAT GLOD COMUNA STRÎMTURA, NR.77",1,1,0,0,0,0
MARAMURES,"SAT GROSI, COM. GROSI",1,1,0,0,0,0
MARAMURES,"SAT GROSI, COM.GROSI,",1,1,0,0,0,0
MARAMURES,"SAT GROºI, COMUNA GROºI, NR. 372B",1,1,0,0,0,0
MARAMURES,"SAT GROºI, COMUNA GROºI, NR.174",1,1,0,0,0,0
MARAMURES,"SAT GÂRDANI, NR. 352D, COMUNA GÂRDANI",1,1,0,0,0,0
MARAMURES,"SAT HOTENI,NR.69A, COM. OCNA ªUGATAG",1,1,0,0,0,0
MARAMURES,"SAT IADARA, S COMUNA MIRESU MARE",1,1,0,0,0,0
MARAMURES,"SAT IADARA, STR. DEALULUI, NR. 41, COM. MIRESU MARE",1,1,0,0,0,0
MARAMURES,"SAT ILBA, NR. 263, COMUNA CICARLAU",1,1,0,0,0,0
MARAMURES,"SAT LAPUS,COM LAPUS",1,1,0,0,0,0
MARAMURES,"SAT LEORDINA ( COMUNA LEORDINA), NR. 50",1,1,0,0,0,0
MARAMURES,SAT LUNCA LA TISA,1,1,0,0,0,0
MARAMURES,"SAT LUNCA LA TISA, NR.238, COMUNA BOCICOIU MARE",1,1,0,0,0,0
MARAMURES,"SAT LUNCA LA TISA,NR.81, COM, BOCICOIU MARE ,",1,1,0,0,0,0
MARAMURES,"SAT LÃPUSEL, STR. UNIRII, NR.35",1,1,0,0,0,0
MARAMURES,"SAT MARA,NR.289, COM. DESEºTI",1,1,0,0,0,0
MARAMURES,"SAT MERISOR, ORS. TAUTIII-MAGHERAUS, STR. 133, NR.63",1,1,0,0,0,0
MARAMURES,SAT MIRESU MARE (COM. MIRESU MARE),1,1,0,0,0,0
MARAMURES,"SAT MIRESU MARE, COM. MIRESU MARE",1,1,0,0,0,0
MARAMURES,"SAT MIRESU MARE, COMUNA MIRESU MARE, STR. DOROBANTILOR NR.52",1,1,0,0,0,0
MARAMURES,"SAT MOCIRA,COMUNA RECEA",1,1,0,0,0,0
MARAMURES,SAT MOISEI ( COMUNA MOISEI),1,1,0,0,0,0
MARAMURES,"SAT MOISEI, COMUNA MOISEI",1,1,0,0,0,0
MARAMURES,"SAT OARTA DE SUS, COMUNA OARTA DE JOS",1,1,0,0,0,0
MARAMURES,"SAT OARÞA DE JOS, COMUNA OARÞA DE JOS, NR. 208",1,1,0,0,0,0
MARAMURES,"SAT OARÞA DE JOS, COMUNA OARÞA DE JOS, NR.192",1,1,0,0,0,0
MARAMURES,"SAT PETROVA, COM.PETROVA",1,1,0,0,0,0
MARAMURES,"SAT PIATRA,NR.27, COM. REMETI",1,1,0,0,0,0
MARAMURES,"SAT PIATRA,NR.27, COM. REMEÞI",1,1,0,0,0,0
MARAMURES,"SAT POSTA, COMUNA REMETEA CHIOARULUI, NR.116C",1,1,0,0,0,0
MARAMURES,"SAT PRIBILESTI, COMUNA SATULUNG,",1,1,0,0,0,0
MARAMURES,"SAT RECEA, COM. RECEA, STR. PRIMARIEI, NR. 10",1,1,0,0,0,0
MARAMURES,"SAT RECEA, COMUNA RECEA",1,1,0,0,0,0
MARAMURES,"SAT RECEA, COMUNA RECEA, 437225, STR. EUROPA, NR.23",1,0,1,0,0,0
MARAMURES,"SAT REMETI PE SOMES, NR.207",1,1,0,0,0,0
MARAMURES,"SAT REMETI, COMUNA REMETI, NR.762",1,1,0,0,0,0
MARAMURES,"SAT REPEDEA, COMUNA REPEDEA, NR. 536A",1,1,0,0,0,0
MARAMURES,"SAT RODINA, COM. ARINIº, NR. 54,",1,1,0,0,0,0
MARAMURES,SAT RONA DE SUS (COM. RONA DE SUS),1,1,0,0,0,0
MARAMURES,"SAT RONA DE SUS (COM. RONA DE SUS),",1,1,0,0,0,0
MARAMURES,"SAT RUS, COM. DUMBRAVITA",1,1,0,0,0,0
MARAMURES,"SAT RUS, COMUNA DUMBRAVITA, NR.218 A",1,1,0,0,0,0
MARAMURES,"SAT SACALASENI, COM. SACALASENI",1,1,0,0,0,0
MARAMURES,"SAT SALSIG, COM. SALSIG,",1,1,0,0,0,0
MARAMURES,"SAT SASAR, COMUNA RECEA,",1,1,0,0,0,0
MARAMURES,"SAT SASAR, COMUNA RECEA, STR. CRINULUI, NR. 15",1,1,0,0,0,0
MARAMURES,"SAT SASAR, COMUNA RECEA, STR. EROILOR, NR.64",1,1,0,0,0,0
MARAMURES,"SAT SATU NOU DE JOS, COM.GROSI, STR. SCOLII, NR.10",1,1,0,0,0,0
MARAMURES,"SAT SATU NOU DE JOS, COMUNA GROSI,",1,1,0,0,0,0
MARAMURES,"SAT SISESTI, COMUNA SISESTI,",1,1,0,0,0,0
MARAMURES,"SAT SISESTI, STR. PRINCIPALA, NR. 430, COMUNA SISESTI",1,1,0,0,0,0
MARAMURES,"SAT SUGATAG,NR.221, COMUNA OCNA SUGATAG",1,1,0,0,0,0
MARAMURES,"SAT SÃSAR (COM. RECEA), STR. EROILOR NR. 89",1,1,0,0,0,0
MARAMURES,"SAT SÃSAR, COMUNA RECEA, STR. 1 DECEMBRIE, NR. 200,",1,1,0,0,0,0
MARAMURES,"SAT SÃSAR, COMUNA RECEA, STR. 1 DECEMBRIE, NR. 89",1,1,0,0,0,0
MARAMURES,"SAT SÃSAR, COMUNA RECEA, STR. EROILOR, NR. 138B",1,1,0,0,0,0
MARAMURES,"SAT TULGHES, COMUNA MIRESU MARE, NR.93",1,1,0,0,0,0
MARAMURES,"SAT TÃMAIA, COMUNA FÃRCAºA, STR. BALASTIEREI, NR.18",1,1,0,0,0,0
MARAMURES,"SAT ULMENI, ORS. ULMENI",1,1,0,0,0,0
MARAMURES,"SAT ULMOASA, ORAº TÃUÞII-MÃGHERÃUº, STR. 141, NR. 59",1,1,0,0,0,0
MARAMURES,"SAT ULMOASA, ORAº TÃUÞII-MÃGHERÃUº, STR. 141, NR.47,",1,1,0,0,0,0
MARAMURES,"SAT URMENIº, COMUNA BÃIÞA DE SUB CODRU, NR. 69",1,1,0,0,0,0
MARAMURES,SAT VALENII SOMCUTEI,1,1,0,0,0,0
MARAMURES,SAT VISEU DE JOS ( COMUNA VISEU DE JOS),1,1,0,0,0,0
MARAMURES,"SAT VISEU DE JOS, COMUNA VISEU DE JOS, NR.1120",1,1,0,0,0,0
MARAMURES,"SAT ªURDEºTI, COMUNA ªIºEºTI, NR. 278,",1,1,0,0,0,0
MARAMURES,"SAT. BÃITA, ORS.TÃUTII MÃGHERÃUS, STR.73 NR.41",1,1,0,0,0,0
MARAMURES,"SAT. SATU NOU DE JOS (COM. GROSI), STR. MASLINILOR, NR.22",1,1,0,0,0,0
MARAMURES,"SATU NOU DE JOS,",1,1,0,0,0,0
MARAMURES,"SATU NOU DE JOS, COMUNA GROSI",1,1,0,0,0,0
MARAMURES,"SATU NOU DE JOS, NR. 85B, COMUNA GROºI",1,1,0,0,0,0
MARAMURES,"SATU NOU DE SUS NR. 227/A, ORASUL BAIA SPRIE",1,1,0,0,0,0
MARAMURES,"SATUL ARINIS (COMUNA ARINIS), NR. 264",1,1,0,0,0,0
MARAMURES,SATUL SASAR NR. 145,1,0,1,0,0,0
MARAMURES,SATULUNG NR. 112,1,0,1,0,0,0
MARAMURES,SATULUNG NR. 120 A,1,0,1,0,0,0
MARAMURES,"SATULUNG, NR. 384",1,1,0,0,0,0
MARAMURES,"SATULUNG, STR. FN, NR.441,",1,1,0,0,0,0
MARAMURES,"SEDIUL PRINCIPAL REPDEA, PUNCTE DE LUCRU REPEDEA SI VISEU DE SUS",1,1,0,0,0,0
MARAMURES,"SEINI, SAT SÃBIºA, NR. 222",1,1,0,0,0,0
MARAMURES,"SEINI, STR. AVRAM IANCU, NR.25A",1,1,0,0,0,0
MARAMURES,"SEINI, STR. AVRAM IANCU, NR.33",1,1,0,0,0,0
MARAMURES,"SEINI, STR. NICOLAE BÃLCESCU, NR.2",1,1,0,0,0,0
MARAMURES,"SEINI, STR. P-TA UNIRII, NR.8",1,1,0,0,0,0
MARAMURES,"SEINI, STR. PIAÞA UNIRII, NR.15",1,1,0,0,0,0
MARAMURES,"SIBIU, str. Aleea Petuniei, nr. 3, ap. 18, jud. Sibiu.",1,1,0,0,0,0
MARAMURES,SIEU,1,1,0,0,0,0
MARAMURES,SIGHETEU MARMATIEI,1,1,0,0,0,0
MARAMURES,SIGHETU MARATIEI,1,1,0,0,0,0
MARAMURES,SIGHETU MARMATIEI STR. L. BLAGA NR. 15,1,0,1,0,0,0
MARAMURES,"SIGHETU MARMATIEI, STR. CORNELIU COPOSU NR.5A",1,1,0,0,0,0
MARAMURES,SIGHETU MARMATIEIE,1,1,0,0,0,0
MARAMURES,SIGHETU MARMATIIE,1,1,0,0,0,0
MARAMURES,"SIGHETU MARMAÞIEI , P-ÞA LIBERTÃÞII, NR.15",1,1,0,0,0,0
MARAMURES,"SIGHETU MARMAÞIEI – 435500, ,",1,1,0,0,0,0
MARAMURES,"SIGHETU MARMAÞIEI, P-ÞA LIBERTÃÞII, NR. 25",1,1,0,0,0,0
MARAMURES,"SIGHETU MARMAÞIEI, STR. LAZU ªESULUI NR.138",1,1,0,0,0,0
MARAMURES,SIGHETU MRMATIEI STR. N. TITULESCU NR. 59,1,0,1,0,0,0
MARAMURES,SIGHETU-MARMATIEI,1,1,0,0,0,0
MARAMURES,SIGHETUL MARMATIEI,1,1,0,0,0,0
MARAMURES,SIGHEU MARMATIEI,1,0,1,0,0,0
MARAMURES,SIGHTU MARMATIEI,1,0,1,0,0,0
MARAMURES,SISESTI NR. 430,1,1,0,0,0,0
MARAMURES,SLATIOARA,1,0,0,0,1,0
MARAMURES,SMCUTA MARE,1,0,1,0,0,0
MARAMURES,SOMCUTA,1,1,0,0,0,0
MARAMURES,SOMCUTA MARE - SAT CIOLT,1,1,0,0,0,0
MARAMURES,SOMCUTA MARE STR. N. BALCESCU NR. 80,1,0,1,0,0,0
MARAMURES,"SOMCUTA MARE, SAT BUTEASA, NR. 23",1,1,0,0,0,0
MARAMURES,"SOMCUTA MARE, SAT VALENII SOMCUTEI, NR. 57",1,1,0,0,0,0
MARAMURES,"SOMCUTA MARE, STR. CIOLTULUI, NR. 2D",1,1,0,0,0,0
MARAMURES,"SOMCUTA MARE, STR. NICOLAE BALCESCU, NR.60, JUD. MARAMURES (UNA CAMERA SITUATA ÎN IMOBILUL DENUMIT CASA PAROHIALÃ)",1,1,0,0,0,0
MARAMURES,"SOMCUTA MARE, STR. VASILE ALECSANDRI, NR.8",1,1,0,0,0,0
MARAMURES,SOMES UILEAC NR. 209,1,1,0,0,0,0
MARAMURES,STOICENI,1,1,0,0,0,0
MARAMURES,"STR. BOGDAN VODA, NR. 8/60",1,0,1,0,0,0
MARAMURES,STR. G. COSBUC. NR. 33/C/36,1,1,0,0,0,0
MARAMURES,"STR. GEORGE COSBUC, NR. 36 A",1,1,0,0,0,0
MARAMURES,"STR. GEORGE ENESCU , NR. 26",1,1,0,0,0,0
MARAMURES,STR. LEBEDEI NR. 33,1,1,0,0,0,0
MARAMURES,"STR. PODUL VIILOR, NR. 8",1,1,0,0,0,0
MARAMURES,"STR. VICTORIEI, NR.123, AP.1",1,1,0,0,0,0
MARAMURES,"STR.DOBOIES, NR.9/B",1,1,0,0,0,0
MARAMURES,STREMT,1,1,0,0,0,0
MARAMURES,STRIMBU BAIUT,1,0,1,0,0,0
MARAMURES,STRÂMBU BAIUT,1,1,0,0,0,0
MARAMURES,"STRÂMBU BAIUT, COM. BAIUT",1,1,0,0,0,0
MARAMURES,STRÎMTURA,1,1,0,0,0,0
MARAMURES,SUCI DE SUS,1,1,0,0,0,0
MARAMURES,SUCIU DE JOS NR. 130,1,0,1,0,0,0
MARAMURES,SUCIU DE SUS NR. 297,1,0,1,0,0,0
MARAMURES,SURDEATI,1,1,0,0,0,0
MARAMURES,SURDESTI NR. 20,1,1,0,0,0,0
MARAMURES,"SURDESTI, STR. PRINCIPALA, NR.255",1,1,0,0,0,0
MARAMURES,Sacalaseni,1,1,0,0,0,0
