priority_rank	priority_score	priority_reason	judet_rank_active	localitate_total_active	categorie	denumire	numar_registru_national	status_normalizat	judet_cheie	localitate_cheie	judet	localitate	adresa	scop_initial	hg_utilitate_publica	data_hg_utilitate_publica	sursa_url
31	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONFEDERATIA SINDICATELOR DEMOCRATICE DIN ROMANIA	14/C/1999	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	PIATA WALTER MARACINEANU NR.1-3, SECTOR 1	a) Promovareaa şi apărarea intereselor profesionale, economice, sociale, culturale ale membrilor pe care îi reprezintâ;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
32	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONFEDERATIA SINDICATELOR MINIERE DIN ROMÂNIA	24/C/2001	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI, STR.MENDELEEV NR.34-36, SECTOR 1 si subsecvent in orasul Petrosani, str. Timisoara nr.2-A, judetul Hunedoara	unitatea de actiune a organizatiilor sindicale afiliate, asigurând un cadru organizat de lupta sindicala, pentru rezolvarea problemelor profesionale, economice, sociale si cultural-sportive.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
33	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"CONFEDERAŢIA ""UNIUNEA PATRONATELOR DIN ROMÂNIA"""	62/C/2004	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR.JOHANN STRAUSS NR.1-3, HOTEL PALACE FLOREASCA	- Reprezentarea unitară a mişcării patronale la nivel naţional şi internaţional şi susţinerea, promovarea, reprezentarea şi apărarea intereselor patronilor şi a organizaţiilor patronale.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
34	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONFEDERAŢIA PATRONALĂ A INDUSTRIEI, SERVICIILOR ŞI COMERŢULUI DIN ROMÂNIA	2/C/2004	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	Bucureşti, str. Fabrica de Glucoză, nr.15, sector 1	de organizare a activităţii în vederea reprezentării intereselor angajaţilor (patronilor) din organizaţiile patronale componente (art.7 din Statut).			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
35	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONFEDERAŢIA SINDICALĂ NAŢIONALĂ MERIDIAN	60/C/2003	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR. MENDELEEV NR.36-38 SECTOR 1				https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
36	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONFEDERAŢIA SINDICATELOR DIN ROMÂNIA - UNIUNEA TERITORIALĂ A SINDICATELOR DIN JUDEŢUL SIBIU	20/C/2007	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	SECTOR 1, STR. WALTER MĂRĂCINEANU ,NR.1-3	Promovarea şi apărarea intereselor profesionale ,economice,sociale,culturale ale membrilor pe care îi reprezintă.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
37	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CONVENTIA SINDICALA NATIONALA A TRANSPORTATORILOR DIN ROMANIA (CSCNTR)	30/C/2000	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti, sector 1, str. Ştefan Stoica nr. 27, ap. cam. 102.	a). Unirea lucrătorilor din transporturi, indiferent de specificul muncii lor, într-o singură structură sindicală;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
38	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	Dispune îndreptarea erorii materiale strecurate în Registrul special Fundaţii Secţiunea I poziţia 2/08.03.2019 punctul 3 - modificări ale denumirii FEDERAŢIA FUNDAŢIILOR COMUNITARE DIN ROMÂNIA în sensul că temeiul efectuării înscrierii este încheierea 238/CC/2018 a Tribunalului Cluj în loc de 138/CC/2018 a Tribunalului Cluj, cum din eroare s-a menţionat.	39/C/2012	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti	Municipiul Bucureşti, sector 1, Int. Dridu nr. 7, bl. F13, sc. B, et.6, ap. 68, camera 2	de a reprezenta la nivel naţional interesele fundaţiilor comunitare din România care adoptă, respectă misiunea şi standardele FFCR, de a cultiva şi dezvolta filantropia strategică la nivel local, de a susţine actorii interesaţi să investească în comunitatea lor, de a contribui la crearea unei societăţi cu indivizi responsabil social şi având comportament filantropic interesaţi de dezvoltarea comunităţii lor şi care să promoveze o colaborare echilibrată, respectuoasă şi în beneficiu mutual între persoane, sectorul non profit, mediul de faceri şi instituţiile publice.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
39	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	FEDERATIA	50/C/2005	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	SPLAIUL INDEPENDENŢEI NR.202A, ETJ.3, CAM.39, SECT.6	- apărarea drepturilor şi promovarea intereselor profesionale, economice, sociale, culturale şi sportive ale membrilor săi, prevăzute în legislaţia Muncii şi în contractul colectiv de muncă.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
40	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"FEDERATIA ""CEREAN"" (CENTRAL EUROPEAN REAL ESTATE ASSOCIATIONS NETWORKS)"	26/C/2007	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI, BD. HRISTO BOTEV NR. 1, ETAJ 6, CAMERA 611 (fosta 66)- din luna ianuarie 2009	1. sa promoveze proprietatea imobiliara în calitatea acesteia de element cheie în dezvoltarea si siguranta unei societati libere functionând într-un sistem democratic;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
